
    ________                      __
    \_____  \  __ _______ _______|  | __
     /  / \  \|  |  \__  \_  __ \  |/ /
    /   \_/.  \  |  // __ \|  | \/    <
    \_____\ \_/____/(____  /__|  |__|_ \
           \__>          \/           \/ v22.1.1
    
                An Obfuscation-Neglect Android Malware Scoring System
                
[!] WARNING: Moderate Risk
[*] Total Score: 181
+------------+---------------------------------------------------------------------------------+------------+-------+--------+
| Filename   | Rule                                                                            | Confidence | Score | Weight |
| 00123.json | Save the response to JSON after connecting to the remote server                 | 20%        | 1     | 0.0625 |
| 00124.json | Check the current active network type                                           | 40%        | 1     | 0.125  |
| 00125.json | Check if the given file path exist                                              | 60%        | 1     | 0.25   |
| 00126.json | Read sensitive data(SMS, CALLLOG, etc)                                          | 60%        | 1     | 0.25   |
| 00127.json | Monitor the broadcast action events (BOOT_COMPLETED, etc)                       | 40%        | 1     | 0.125  |
| 00128.json | Query user account information                                                  | 20%        | 1     | 0.0625 |
| 00129.json | Get the content of SMS                                                          | 100%       | 1     | 1.0    |
| 00130.json | Get the current WIFI information                                                | 40%        | 1     | 0.125  |
| 00131.json | Get location of the current GSM and put it into JSON                            | 20%        | 1     | 0.0625 |
| 00132.json | Query The ISO country code                                                      | 40%        | 1     | 0.125  |
| 00133.json | Start recording                                                                 | 40%        | 1     | 0.125  |
| 00134.json | Get the current WiFi IP address                                                 | 40%        | 1     | 0.125  |
| 00135.json | Get the current WiFi id and put it into JSON.                                   | 20%        | 1     | 0.0625 |
| 00136.json | Stop recording                                                                  | 40%        | 1     | 0.125  |
| 00137.json | Get last known location of the device                                           | 20%        | 1     | 0.0625 |
| 00138.json | Set the audio source (MIC)                                                      | 40%        | 1     | 0.125  |
| 00139.json | Get the current WiFi id                                                         | 40%        | 1     | 0.125  |
| 00140.json | Write the phone number into a file                                              | 40%        | 1     | 0.125  |
| 00141.json | Load class from given class name                                                | 60%        | 1     | 0.25   |
| 00142.json | Get calendar information                                                        | 40%        | 1     | 0.125  |
| 00143.json | Get external class from given path or file name                                 | 40%        | 1     | 0.125  |
| 00144.json | Write SIM card serial number into a file                                        | 40%        | 1     | 0.125  |
| 00145.json | Create a socket connection to the proxy address                                 | 20%        | 1     | 0.0625 |
| 00146.json | Get the network operator name and IMSI                                          | 40%        | 1     | 0.125  |
| 00147.json | Get the time of current location                                                | 20%        | 1     | 0.0625 |
| 00148.json | Create a socket connection to the given host address                            | 20%        | 1     | 0.0625 |
| 00149.json | Unpack an asset, possibly decrypt it and load it as DEX                         | 20%        | 1     | 0.0625 |
| 00150.json | Send IMSI over Internet                                                         | 40%        | 1     | 0.125  |
| 00151.json | Send phone number over Internet                                                 | 40%        | 1     | 0.125  |
| 00152.json | Get data from HTTP and send SMS                                                 | 40%        | 1     | 0.125  |
| 00153.json | Send binary data over HTTP                                                      | 20%        | 1     | 0.0625 |
| 00154.json | Connect hostname to TCP or UDP socket using KryoNet                             | 20%        | 1     | 0.0625 |
| 00155.json | Execute commands on shell using DataOutputStream object                         | 20%        | 1     | 0.0625 |
| 00156.json | Acquire lock on Power Manager                                                   | 0%         | 1     | 0      |
| 00157.json | Instantiate new object using reflection, possibly used for dexClassLoader       | 20%        | 1     | 0.0625 |
| 00158.json | Connect to a URL and send sensitive data got from resolver                      | 40%        | 1     | 0.125  |
| 00159.json | Use accessibility service to perform action getting node info by text           | 60%        | 1     | 0.25   |
| 00160.json | Use accessibility service to perform action getting node info by View Id        | 40%        | 1     | 0.125  |
| 00161.json | Perfom accessibility service action on accessibility node info                  | 60%        | 1     | 0.25   |
| 00162.json | Create InetSocketAddress object and connecting to it                            | 20%        | 1     | 0.0625 |
| 00163.json | Create new Socket and connecting to it                                          | 20%        | 1     | 0.0625 |
| 00164.json | Get SMS address and send it through http                                        | 20%        | 1     | 0.0625 |
| 00165.json | Get SMS message body and send it through http                                   | 40%        | 1     | 0.125  |
| 00166.json | Get SMS message body and retrieve a string from it (possibly PIN / mTAN)        | 40%        | 1     | 0.125  |
| 00167.json | Use accessibility service to perform action getting root in active window       | 40%        | 1     | 0.125  |
| 00168.json | Use accessibility service to perform global action getting node info by text    | 40%        | 1     | 0.125  |
| 00169.json | Use accessibility service to perform global action getting node info by View Id | 20%        | 1     | 0.0625 |
| 00170.json | Get installed applications and put the list in shared preferences               | 40%        | 1     | 0.125  |
| 00171.json | Compare network operator with a string                                          | 40%        | 1     | 0.125  |
| 00172.json | Check Admin permissions to (probably) get them                                  | 0%         | 1     | 0      |
| 00173.json | Get bounds in screen of an AccessibilityNodeInfo and perform action             | 60%        | 1     | 0.25   |
| 00174.json | Get all accounts by type and put them in a JSON object                          | 20%        | 1     | 0.0625 |
| 00175.json | Get notification manager and cancel notifications                               | 40%        | 1     | 0.125  |
| 00176.json | Send sms to a contact of contact list                                           | 40%        | 1     | 0.125  |
| 00177.json | Check if permission is granted and request it                                   | 20%        | 1     | 0.0625 |
| 00178.json | Execute Linux commands via ProcessBuilder                                       | 20%        | 1     | 0.0625 |
| 00179.json | Send Location via SMS                                                           | 0%         | 1     | 0      |
| 00180.json | Load native libraries(.so) via System.loadLibrary (60% means caught)            | 20%        | 1     | 0.0625 |
| 00181.json | Load native libraries(.so) via System.load (60% means caught)                   | 20%        | 1     | 0.0625 |
+------------+---------------------------------------------------------------------------------+------------+-------+--------+
